satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
neutral or dissatisfied,Loyal Customer,37,Business travel,Eco,4983,4,3,1,4,3,4,3,2,4,3,3,4,4,3,31,39
neutral or dissatisfied,Loyal Customer,44,Personal Travel,Eco,623,4,3,2,3,2,4,2,2,3,4,4,3,3,3,14,4
satisfied,Loyal Customer,49,Business travel,Business,4467,3,3,3,3,5,4,4,4,5,4,5,3,4,5,0,12
neutral or dissatisfied,Disloyal Customer,45,Business travel,Eco Plus,1874,2,3,2,3,2,2,3,4,4,4,3,1,2,4,0,0
neutral or dissatisfied,Disloyal Customer,54,Business travel,Business,1651,3,4,4,4,2,5,2,2,5,3,3,4,4,2,0,4
satisfied,Loyal Customer,22,Business travel,Business,3089,5,3,3,1,4,4,4,5,3,4,4,4,5,5,0,0
satisfied,Loyal Customer,47,Personal Travel,Eco,1193,2,3,2,4,3,4,3,3,2,2,4,3,4,3,0,10
satisfied,Loyal Customer,35,Personal Travel,Eco,859,2,3,2,2,3,2,4,2,4,2,3,4,2,3,0,0
neutral or dissatisfied,Loyal Customer,40,Personal Travel,Eco,3453,3,2,3,2,5,5,5,5,4,2,5,3,3,2,49,55
satisfied,Loyal Customer,23,Business travel,Business,3231,5,4,2,2,5,5,5,4,4,5,5,4,4,4,3,9
satisfied,Loyal Customer,31,Business travel,Business,1339,5,4,2,4,3,5,5,4,5,5,2,4,4,5,0,0
satisfied,Loyal Customer,11,Personal Travel,Eco,1027,3,3,3,2,4,2,4,5,5,3,3,4,3,4,7,13
neutral or dissatisfied,Loyal Customer,43,Business travel,Eco Plus,3355,3,3,1,3,4,2,3,4,4,4,3,4,3,3,18,12
satisfied,Loyal Customer,37,Business travel,Eco Plus,2639,3,3,3,3,4,3,4,2,4,5,4,5,3,4,0,0
satisfied,Loyal Customer,29,Personal Travel,Business,4500,3,3,5,4,4,2,4,2,4,4,4,4,4,4,0,6
satisfied,Disloyal Customer,42,Business travel,Business,4762,4,3,4,4,3,4,4,3,3,4,3,3,4,3,1,0
satisfied,Loyal Customer,37,Business travel,Business,699,3,3,4,5,3,4,4,3,4,4,3,5,5,4,8,0
satisfied,Loyal Customer,40,Business travel,Business,1060,4,3,4,3,5,3,3,4,4,4,4,4,4,5,19,22
neutral or dissatisfied,Disloyal Customer,63,Personal Travel,Eco,1155,2,4,3,4,0,2,1,4,3,1,3,3,3,4,0,12
neutral or dissatisfied,Loyal Customer,43,Business travel,Business,3214,3,2,4,3,3,4,4,4,3,4,4,4,4,4,23,13
satisfied,Disloyal Customer,27,Business travel,Business,1415,4,4,5,4,3,3,4,4,3,4,3,3,3,4,10,11
neutral or dissatisfied,Loyal Customer,45,Business travel,Eco,795,2,4,3,4,2,2,1,2,3,3,3,1,2,1,66,53
neutral or dissatisfied,Loyal Customer,33,Business travel,Eco Plus,1576,3,4,4,4,5,5,5,2,4,4,4,3,3,4,0,0
neutral or dissatisfied,Disloyal Customer,45,Personal Travel,Eco,1226,2,2,1,3,0,3,1,4,4,2,2,3,0,2,0,11
satisfied,Disloyal Customer,40,Business travel,Business,2033,3,2,3,3,3,3,2,3,4,3,2,3,4,3,53,69
satisfied,Disloyal Customer,18,Personal Travel,Eco,168,2,3,3,4,1,2,2,2,2,3,3,3,3,1,4,0
neutral or dissatisfied,Disloyal Customer,55,Business travel,Eco,946,1,4,5,4,1,2,4,3,2,3,1,1,3,3,0,3
neutral or dissatisfied,Loyal Customer,15,Personal Travel,Eco Plus,711,4,5,2,4,3,3,4,3,3,4,4,4,4,3,0,0
satisfied,Loyal Customer,41,Business travel,Eco Plus,1533,4,1,1,5,1,4,2,4,4,3,3,3,3,4,0,0
satisfied,Loyal Customer,30,Business travel,Business,1598,4,5,4,3,3,5,3,2,5,5,4,4,5,5,12,7
satisfied,Loyal Customer,26,Business travel,Business,1040,3,4,4,4,3,4,4,4,4,5,5,4,5,4,0,0
satisfied,Disloyal Customer,51,Business travel,Eco,4983,4,4,4,2,4,2,3,2,3,3,4,4,4,3,0,0
satisfied,Disloyal Customer,37,Business travel,Eco Plus,2151,3,3,2,3,3,2,4,5,1,4,3,3,3,3,2,1
satisfied,Loyal Customer,64,Business travel,Business,886,4,5,3,3,5,5,4,3,5,4,4,4,5,5,0,0
neutral or dissatisfied,Loyal Customer,14,Personal Travel,Eco,1143,3,2,3,3,2,3,3,3,3,1,5,2,4,4,18,27
satisfied,Loyal Customer,40,Business travel,Eco,1299,4,3,2,4,3,2,3,3,3,3,4,3,4,3,0,9
satisfied,Loyal Customer,53,Business travel,Business,2483,4,2,3,4,4,5,5,5,5,4,5,4,5,5,0,0
satisfied,Disloyal Customer,59,Business travel,Eco,1939,2,4,1,4,2,4,4,5,3,2,2,4,1,2,0,0
satisfied,Disloyal Customer,25,Business travel,Business,4983,5,3,4,2,3,3,2,3,4,4,4,3,4,3,1,0
satisfied,Loyal Customer,36,Business travel,Business,2515,4,5,3,3,5,4,3,5,4,3,4,3,5,5,0,0
satisfied,Loyal Customer,31,Personal Travel,Eco,1344,3,3,4,4,5,3,5,3,3,4,3,3,3,4,0,9
neutral or dissatisfied,Loyal Customer,57,Business travel,Eco,2596,2,3,4,4,5,4,5,3,4,3,5,3,3,4,0,0
neutral or dissatisfied,Loyal Customer,42,Personal Travel,Eco,1066,3,2,5,1,0,2,4,2,2,2,2,2,3,2,68,67
satisfied,Loyal Customer,62,Business travel,Business,1291,4,4,4,1,4,4,5,3,5,4,5,5,5,5,0,0
satisfied,Loyal Customer,42,Business travel,Business,856,4,3,5,4,2,4,4,4,5,5,4,5,4,5,0,18
satisfied,Disloyal Customer,27,Business travel,Business,2152,4,1,4,4,5,4,4,4,3,4,4,4,3,3,0,8
satisfied,Loyal Customer,19,Business travel,Business,1952,5,2,3,4,4,4,4,5,5,5,5,5,5,5,0,0
neutral or dissatisfied,Disloyal Customer,25,Personal Travel,Business,269,3,2,3,2,2,3,3,3,4,4,3,4,3,3,13,6
satisfied,Loyal Customer,36,Business travel,Business,1292,5,4,3,2,4,3,4,5,5,4,4,4,5,3,1,26
satisfied,Loyal Customer,29,Personal Travel,Eco,1185,5,3,4,2,0,3,5,3,3,2,3,4,2,4,0,9
satisfied,Disloyal Customer,35,Business travel,Business,4983,4,4,2,2,5,5,4,4,3,3,4,3,4,2,0,0
satisfied,Loyal Customer,14,Personal Travel,Eco,867,4,3,3,2,2,4,2,3,5,4,2,4,4,3,0,23
neutral or dissatisfied,Loyal Customer,46,Business travel,Business,2210,3,5,3,3,4,5,5,4,4,5,4,4,4,3,0,8
neutral or dissatisfied,Loyal Customer,40,Personal Travel,Eco Plus,1643,5,3,2,4,2,3,4,4,3,4,3,4,4,4,7,9
satisfied,Loyal Customer,42,Personal Travel,Eco,503,3,4,2,4,4,3,3,2,2,1,3,3,2,4,0,0
satisfied,Loyal Customer,28,Business travel,Business,3186,5,4,5,2,4,4,5,3,4,5,5,4,5,4,0,2
neutral or dissatisfied,Loyal Customer,47,Business travel,Eco,3499,5,5,3,2,4,4,4,3,4,1,2,4,4,4,11,15
satisfied,Loyal Customer,52,Business travel,Business,2311,4,3,5,5,4,3,4,4,4,5,4,5,5,5,0,0
satisfied,Loyal Customer,37,Business travel,Business,1381,5,5,5,2,4,5,5,5,4,5,3,5,4,4,0,5
satisfied,Loyal Customer,26,Personal Travel,Eco,498,4,1,3,3,4,3,2,5,4,3,3,2,3,3,11,9
neutral or dissatisfied,Disloyal Customer,52,Business travel,Business,2229,2,4,3,4,4,2,2,4,3,4,3,2,4,3,0,10
satisfied,Loyal Customer,18,Business travel,Business,2397,3,3,5,4,3,5,5,5,4,4,4,2,4,4,0,1
satisfied,Loyal Customer,27,Business travel,Business,1114,4,4,5,4,5,5,5,5,4,5,3,4,3,5,0,0
neutral or dissatisfied,Loyal Customer,60,Personal Travel,Eco,1195,4,4,4,3,4,4,3,3,3,3,3,3,3,3,7,21
neutral or dissatisfied,Disloyal Customer,60,Business travel,Eco,1328,1,3,1,2,1,4,1,1,2,2,2,2,3,3,0,14
satisfied,Loyal Customer,18,Personal Travel,Eco,743,4,3,2,3,2,3,3,3,4,4,4,3,2,3,33,34
neutral or dissatisfied,Disloyal Customer,43,Business travel,Business,1380,2,4,4,2,5,5,4,3,4,4,3,2,4,3,0,3
satisfied,Disloyal Customer,54,Business travel,Eco Plus,3566,3,2,2,5,3,3,3,3,4,3,3,4,2,4,41,42
neutral or dissatisfied,Loyal Customer,61,Personal Travel,Eco,1579,4,2,2,2,3,4,2,4,3,3,3,3,4,3,8,8
satisfied,Loyal Customer,43,Business travel,Business,1655,4,3,3,3,4,4,3,4,4,5,4,4,5,5,0,0
satisfied,Loyal Customer,35,Personal Travel,Business,250,5,5,4,4,2,5,5,5,4,5,4,5,4,4,0,2
satisfied,Loyal Customer,40,Business travel,Business,1719,4,3,3,5,4,3,5,5,5,5,5,4,3,5,0,0
neutral or dissatisfied,Loyal Customer,31,Business travel,Eco,2234,3,4,2,3,3,2,4,2,3,4,2,3,3,4,10,0
neutral or dissatisfied,Disloyal Customer,51,Business travel,Business,4983,4,2,2,4,4,2,3,3,3,3,4,3,2,2,76,85
satisfied,Loyal Customer,54,Personal Travel,Eco,584,3,2,2,4,3,3,3,2,3,3,4,4,2,4,0,8
neutral or dissatisfied,Disloyal Customer,55,Personal Travel,Eco Plus,1037,3,2,4,2,3,2,4,3,3,3,2,3,2,3,5,17
neutral or dissatisfied,Loyal Customer,23,Business travel,Eco,1919,3,4,5,2,5,3,3,4,2,4,3,4,3,4,7,1
satisfied,Loyal Customer,77,Personal Travel,Eco,843,4,3,2,3,1,3,2,3,4,5,3,3,4,3,11,10
neutral or dissatisfied,Loyal Customer,65,Personal Travel,Eco,3627,3,4,5,5,5,4,4,3,3,2,4,3,4,4,3,0
satisfied,Loyal Customer,18,Business travel,Eco,1287,3,4,3,4,2,3,4,4,2,3,4,3,3,4,33,45
neutral or dissatisfied,Loyal Customer,48,Personal Travel,Eco,1756,2,4,3,3,4,3,2,4,3,4,3,3,5,3,0,0
satisfied,Loyal Customer,19,Personal Travel,Eco,1044,4,3,4,5,3,3,3,3,2,2,3,3,3,3,1,13
satisfied,Loyal Customer,43,Business travel,Business,1270,5,4,5,4,2,4,5,3,5,4,4,5,3,5,0,0
neutral or dissatisfied,Loyal Customer,37,Business travel,Business,2411,4,3,4,2,4,2,4,5,4,2,4,3,3,1,69,77
satisfied,Loyal Customer,65,Business travel,Business,1251,5,5,5,3,5,5,5,3,4,5,3,3,5,3,0,0
neutral or dissatisfied,Disloyal Customer,52,Business travel,Eco,1470,3,1,2,3,2,1,3,2,2,2,2,4,4,4,0,0
satisfied,Disloyal Customer,72,Business travel,Eco,4983,3,3,2,3,4,5,4,3,1,1,2,3,3,3,6,7
satisfied,Loyal Customer,26,Business travel,Business,4427,5,4,5,2,4,5,5,4,4,5,5,5,3,5,0,12
satisfied,Disloyal Customer,27,Business travel,Business,1266,3,4,3,4,3,3,3,4,3,5,3,3,4,3,35,29
satisfied,Loyal Customer,29,Personal Travel,Eco,1140,4,3,2,3,3,4,5,4,3,3,3,4,4,3,0,11
neutral or dissatisfied,Disloyal Customer,17,Personal Travel,Business,677,5,2,1,3,2,2,4,4,5,5,5,3,4,4,0,8
satisfied,Loyal Customer,13,Personal Travel,Eco,349,3,4,4,2,2,3,3,4,2,2,5,3,3,3,0,0
satisfied,Loyal Customer,31,Business travel,Business,2155,3,2,5,4,4,5,5,3,5,5,4,5,3,4,0,7
neutral or dissatisfied,Disloyal Customer,53,Business travel,Business,1222,4,2,4,1,3,4,3,4,5,5,4,3,4,5,5,5
neutral or dissatisfied,Loyal Customer,57,Business travel,Eco Plus,3938,3,4,4,5,3,4,5,3,3,3,3,4,2,3,3,0
satisfied,Loyal Customer,33,Personal Travel,Eco,4500,2,2,4,3,2,5,3,3,3,3,3,4,2,2,0,12
satisfied,Loyal Customer,28,Business travel,Business,2892,5,5,3,2,3,2,4,5,5,3,5,3,3,4,0,0
neutral or dissatisfied,Disloyal Customer,49,Personal Travel,Eco,770,2,2,0,3,1,1,3,1,3,2,3,2,2,4,23,24
satisfied,Loyal Customer,32,Personal Travel,Eco,1442,3,5,1,4,3,3,4,3,4,2,3,4,3,3,11,16
satisfied,Loyal Customer,52,Business travel,Eco Plus,4983,4,5,4,3,4,5,2,4,5,4,3,3,4,4,0,0
satisfied,Loyal Customer,51,Business travel,Business,653,4,4,3,4,4,3,4,5,4,4,5,2,3,5,8,10
satisfied,Loyal Customer,51,Personal Travel,Eco,1277,2,4,5,4,2,3,4,3,3,3,3,2,2,4,24,21
satisfied,Loyal Customer,26,Personal Travel,Eco,1212,3,3,3,2,3,4,4,4,3,3,3,3,4,4,0,0
satisfied,Disloyal Customer,58,Business travel,Business,4983,2,3,4,3,4,4,3,4,4,4,3,5,3,5,0,2
neutral or dissatisfied,Disloyal Customer,51,Business travel,Eco,1432,3,2,0,5,1,4,3,1,3,2,2,2,3,2,59,49
neutral or dissatisfied,Loyal Customer,31,Personal Travel,Eco,740,4,4,3,4,3,4,3,2,3,2,1,2,3,2,51,47
satisfied,Loyal Customer,36,Business travel,Eco Plus,2615,5,4,4,5,3,3,3,4,4,4,4,5,3,4,22,17
neutral or dissatisfied,Disloyal Customer,49,Business travel,Eco,1884,3,3,4,4,2,4,3,4,4,2,3,3,2,3,0,0
satisfied,Loyal Customer,34,Personal Travel,Eco Plus,511,2,2,3,3,2,1,4,4,3,5,2,3,3,1,93,90
satisfied,Loyal Customer,47,Personal Travel,Eco Plus,741,3,3,5,2,1,3,4,5,3,3,3,4,4,3,4,0
neutral or dissatisfied,Disloyal Customer,37,Personal Travel,Business,2844,3,2,3,5,3,1,3,3,3,3,3,4,5,3,0,0
satisfied,Loyal Customer,32,Personal Travel,Eco,846,3,2,4,2,4,3,3,3,3,2,3,4,4,2,15,21
neutral or dissatisfied,Disloyal Customer,43,Business travel,Business,3518,4,3,2,1,5,3,3,5,5,4,3,2,5,2,0,0
neutral or dissatisfied,Loyal Customer,36,Personal Travel,Eco,643,2,3,2,4,2,3,3,5,3,3,3,4,4,3,5,0
satisfied,Loyal Customer,27,Business travel,Eco Plus,1295,3,4,4,3,3,5,4,5,1,3,5,2,5,4,0,15
satisfied,Disloyal Customer,19,Business travel,Business,4262,5,2,2,4,5,4,4,4,4,4,5,3,4,3,0,0
neutral or dissatisfied,Disloyal Customer,28,Personal Travel,Eco,2551,1,3,2,4,1,2,2,3,1,3,2,2,2,1,38,42
satisfied,Loyal Customer,13,Personal Travel,Eco,1559,2,4,2,2,4,4,4,2,4,3,2,2,4,2,0,0
neutral or dissatisfied,Disloyal Customer,35,Business travel,Eco,2398,3,3,1,4,3,3,3,2,3,4,4,1,5,1,10,10
satisfied,Loyal Customer,45,Business travel,Business,1859,5,4,5,3,3,4,3,4,4,5,4,4,4,5,0,3
satisfied,Loyal Customer,54,Personal Travel,Business,832,5,5,5,1,3,4,4,4,4,5,4,4,4,4,0,14
neutral or dissatisfied,Disloyal Customer,18,Business travel,Business,3082,4,3,2,3,2,4,4,2,3,4,3,3,5,5,0,0
neutral or dissatisfied,Disloyal Customer,20,Personal Travel,Eco,884,3,5,2,4,5,3,2,4,1,2,3,2,2,2,0,2
neutral or dissatisfied,Loyal Customer,46,Personal Travel,Eco,2777,2,3,2,2,3,4,3,3,3,4,3,3,3,5,0,0
satisfied,Loyal Customer,42,Business travel,Business,2094,5,4,5,5,4,4,4,3,4,5,2,5,5,4,1,8
satisfied,Loyal Customer,40,Personal Travel,Eco,287,2,3,3,3,4,2,3,4,4,3,3,3,3,2,0,0
satisfied,Loyal Customer,23,Business travel,Business,4552,5,4,4,5,3,5,4,3,4,4,5,5,5,5,0,0
satisfied,Disloyal Customer,48,Business travel,Business,2096,3,3,3,4,3,5,3,4,4,5,4,3,4,2,0,16
satisfied,Loyal Customer,37,Business travel,Business,3842,5,4,3,4,3,3,5,5,5,5,5,5,4,4,0,10
satisfied,Loyal Customer,18,Business travel,Business,2060,5,2,3,4,4,4,5,5,4,5,4,5,4,4,0,21
neutral or dissatisfied,Disloyal Customer,25,Personal Travel,Eco,985,2,5,3,3,2,4,3,4,2,2,2,3,3,3,0,9
neutral or dissatisfied,Disloyal Customer,58,Personal Travel,Eco,1299,0,2,2,3,0,0,1,1,1,4,1,2,2,1,91,80
neutral or dissatisfied,Loyal Customer,70,Personal Travel,Eco,140,2,1,2,3,3,3,4,4,3,3,5,4,3,2,0,12
neutral or dissatisfied,Disloyal Customer,54,Business travel,Business,1060,5,3,3,4,5,4,2,3,2,3,3,2,4,2,56,61
satisfied,Loyal Customer,44,Business travel,Eco Plus,2251,3,4,3,4,3,3,4,3,4,4,3,4,4,4,0,14
satisfied,Loyal Customer,59,Business travel,Eco,2874,4,2,3,1,2,3,2,4,5,4,2,4,3,4,0,22
satisfied,Loyal Customer,35,Personal Travel,Eco,348,2,4,1,4,2,4,3,3,4,4,3,4,2,3,5,8
satisfied,Loyal Customer,36,Business travel,Eco Plus,2370,3,4,4,3,5,4,3,2,4,3,4,4,5,5,0,9
satisfied,Loyal Customer,41,Business travel,Eco Plus,623,4,5,5,4,2,2,3,5,5,4,4,5,5,4,10,7
satisfied,Loyal Customer,21,Personal Travel,Eco,1179,3,2,2,4,5,3,4,3,3,3,5,2,3,3,0,0
satisfied,Loyal Customer,52,Business travel,Business,2124,4,4,4,4,4,2,5,3,4,5,4,3,5,4,0,2
neutral or dissatisfied,Loyal Customer,38,Business travel,Eco,1993,3,2,3,4,3,4,4,0,2,3,3,5,4,3,0,15
satisfied,Loyal Customer,49,Business travel,Business,2882,3,4,5,4,1,4,3,5,4,5,4,4,5,4,8,27
satisfied,Loyal Customer,59,Business travel,Eco,586,3,4,3,3,3,2,3,3,4,3,4,4,5,2,0,0
satisfied,Loyal Customer,26,Personal Travel,Eco,4400,3,2,4,5,2,4,3,3,3,4,3,3,4,2,16,1
neutral or dissatisfied,Loyal Customer,38,Business travel,Eco Plus,1610,4,3,3,2,2,5,3,4,3,3,3,3,3,4,0,9
neutral or dissatisfied,Loyal Customer,41,Personal Travel,Eco,1608,3,4,3,3,3,4,4,3,3,3,1,3,2,4,20,33
neutral or dissatisfied,Disloyal Customer,45,Business travel,Eco Plus,1984,3,3,3,2,2,3,2,3,3,3,3,4,3,3,0,2
satisfied,Loyal Customer,26,Business travel,Eco Plus,1035,3,3,4,5,3,5,3,4,3,1,3,3,4,4,0,30
neutral or dissatisfied,Loyal Customer,67,Personal Travel,Eco Plus,459,4,4,3,4,3,3,4,3,2,5,3,2,4,3,0,4
satisfied,Loyal Customer,54,Business travel,Eco Plus,3487,4,3,4,2,4,3,3,3,5,4,3,4,5,4,0,0
satisfied,Loyal Customer,59,Business travel,Business,1635,4,4,4,4,5,5,5,5,5,4,5,5,3,4,0,7
neutral or dissatisfied,Loyal Customer,36,Personal Travel,Eco Plus,769,4,3,5,3,3,4,5,4,4,4,4,2,4,4,0,5
neutral or dissatisfied,Disloyal Customer,37,Personal Travel,Eco Plus,349,3,3,2,3,3,2,3,3,2,2,3,3,3,4,0,0
satisfied,Loyal Customer,52,Personal Travel,Eco,3599,3,3,1,5,2,5,3,3,2,3,3,3,3,4,1,3
neutral or dissatisfied,Loyal Customer,34,Business travel,Business,1914,4,2,3,3,5,3,5,4,5,4,3,3,4,4,59,68
neutral or dissatisfied,Disloyal Customer,33,Business travel,Eco,2392,2,3,5,3,5,2,2,4,3,2,2,4,3,1,10,10
satisfied,Loyal Customer,18,Business travel,Business,3695,4,2,4,4,4,5,4,5,3,5,3,3,3,5,3,13
neutral or dissatisfied,Loyal Customer,60,Business travel,Eco,1227,4,3,4,3,2,4,3,4,4,3,2,3,1,1,124,129
satisfied,Loyal Customer,40,Personal Travel,Eco,531,3,3,3,4,3,2,2,4,4,3,4,5,2,4,0,0
neutral or dissatisfied,Disloyal Customer,32,Personal Travel,Eco,830,3,4,2,5,3,1,3,3,2,3,2,2,3,1,0,0
satisfied,Loyal Customer,44,Business travel,Business,2342,4,4,4,2,4,5,5,5,4,5,5,3,5,4,5,0
satisfied,Loyal Customer,36,Business travel,Business,1013,4,3,5,4,5,3,5,4,5,4,4,5,4,3,0,4
neutral or dissatisfied,Loyal Customer,44,Personal Travel,Eco,588,2,4,3,4,3,4,2,3,3,3,3,2,4,3,0,11
neutral or dissatisfied,Disloyal Customer,30,Personal Travel,Eco,718,2,2,3,5,2,2,3,3,4,3,4,0,2,3,0,15
neutral or dissatisfied,Loyal Customer,43,Business travel,Business,1230,3,3,3,3,3,4,3,2,4,3,2,4,4,2,290,299
neutral or dissatisfied,Disloyal Customer,39,Business travel,Eco Plus,2741,3,2,4,3,3,3,4,3,4,2,2,4,4,2,0,0
neutral or dissatisfied,Loyal Customer,28,Business travel,Eco,639,4,5,3,1,4,3,3,3,5,2,2,3,4,5,0,8
neutral or dissatisfied,Disloyal Customer,54,Personal Travel,Eco,1637,2,2,3,4,1,3,2,4,2,4,2,3,2,3,0,13
satisfied,Loyal Customer,40,Business travel,Business,1937,5,5,4,4,3,4,4,4,3,5,4,4,4,5,0,3
satisfied,Loyal Customer,28,Personal Travel,Eco,3951,3,2,4,5,2,3,3,2,2,3,3,5,2,2,21,9
neutral or dissatisfied,Loyal Customer,44,Personal Travel,Eco,271,4,5,2,3,4,2,3,4,3,2,3,4,2,3,0,0
satisfied,Loyal Customer,47,Business travel,Business,1353,4,3,5,3,3,4,3,4,5,5,5,4,5,3,0,0
satisfied,Loyal Customer,62,Personal Travel,Business,3965,5,4,3,4,3,3,3,3,4,5,2,5,4,5,0,11
satisfied,Disloyal Customer,47,Business travel,Eco Plus,2012,4,1,3,5,2,4,2,4,2,2,3,3,4,2,48,55
neutral or dissatisfied,Disloyal Customer,40,Personal Travel,Eco,1602,4,4,1,4,1,2,3,3,2,2,2,3,2,2,0,4
satisfied,Loyal Customer,28,Business travel,Eco Plus,2458,5,5,5,3,3,4,4,4,2,4,4,4,3,3,0,8
satisfied,Loyal Customer,43,Business travel,Business,1670,5,3,5,4,4,3,5,5,5,5,5,4,4,4,0,0
satisfied,Loyal Customer,34,Personal Travel,Eco,479,1,4,3,5,4,1,3,4,4,5,4,4,5,3,0,7
neutral or dissatisfied,Loyal Customer,42,Personal Travel,Eco,1960,2,4,3,2,2,4,3,3,3,3,4,3,2,1,0,17
satisfied,Loyal Customer,8,Personal Travel,Eco,665,2,4,3,2,3,4,3,3,2,3,3,3,3,4,0,0
neutral or dissatisfied,Loyal Customer,41,Business travel,Eco,3219,4,5,4,3,4,3,3,4,4,3,4,3,2,4,0,4
satisfied,Loyal Customer,59,Business travel,Business,1557,2,3,4,3,5,5,5,5,5,4,4,4,4,4,8,17
satisfied,Disloyal Customer,23,Business travel,Business,797,5,3,2,4,3,2,5,3,4,3,2,2,3,4,23,7
satisfied,Loyal Customer,53,Personal Travel,Business,318,5,3,4,5,3,3,5,5,4,4,4,5,3,3,29,37
satisfied,Loyal Customer,18,Business travel,Business,4983,5,3,2,2,5,5,2,5,5,5,5,5,5,5,0,0
satisfied,Loyal Customer,22,Business travel,Eco,1870,2,4,5,3,4,3,5,5,4,2,3,3,4,4,0,0
satisfied,Loyal Customer,18,Business travel,Eco,3339,4,3,4,4,1,4,4,2,4,4,3,3,4,3,0,10
satisfied,Loyal Customer,57,Business travel,Business,1360,3,5,3,3,3,4,5,5,4,2,4,4,4,4,0,0
neutral or dissatisfied,Loyal Customer,30,Business travel,Business,3525,4,2,4,4,3,5,4,5,4,3,4,5,3,5,0,17
satisfied,Loyal Customer,19,Personal Travel,Eco,2001,3,3,4,5,3,4,4,2,3,2,3,3,5,3,6,10
satisfied,Disloyal Customer,57,Business travel,Business,763,2,2,3,3,5,4,4,4,4,4,3,3,4,2,7,8
satisfied,Loyal Customer,60,Business travel,Business,1062,4,5,5,2,2,5,5,4,5,4,3,5,5,4,2,5
